[2024-12-01 15:55:48,919: INFO: 3963953584: face is unique and saving it to unique_faces/unique_face_1_2_frame_4.jpg]
[2024-12-01 15:55:48,920: INFO: 3963953584: Adding unique image in the dataframe...]
[2024-12-01 15:55:49,131: INFO: 3963953584: New row for unique image added successfully !!! 
 {'image_path': 'unique_faces/unique_face_1_2_frame_4.jpg', 'hash': 'd31f37c59c1cf4806ea92ba92fd3c7b2086af504', 'score': 0.3, 'no_of_occurance': 1, 'recent_occurance': 2} ]
[2024-12-01 15:55:49,132: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:49,137: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:49,251: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:55:49,251: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:49,252: INFO: 3963953584: result variable is not none and calling the handle_not_unique function]
[2024-12-01 15:55:49,252: INFO: 3963953584: Handling Duplicate image with hash: 5c4f6184fd9cfa7e035a659aaa9a2058d2fc65ce and j: 2]
[2024-12-01 15:55:49,253: INFO: 3963953584: Duplicate image row has been updated !!!]
[2024-12-01 15:55:49,254: INFO: 3963953584: Face is not clear]
[2024-12-01 15:55:50,259: INFO: 3963953584: No face in this frame 16 of video 2]
[2024-12-01 15:55:51,628: INFO: 3963953584: Found faces in frame 16 of video 2]
[2024-12-01 15:55:51,628: INFO: 3963953584: Face is not clear]
[2024-12-01 15:55:52,838: INFO: 3963953584: No face in this frame 17 of video 2]
[2024-12-01 15:55:54,108: INFO: 3963953584: Found faces in frame 17 of video 2]
[2024-12-01 15:55:54,108: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:54,113: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:54,270: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:55:54,271: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:54,271: INFO: 3963953584: result variable is not none and calling the handle_not_unique function]
[2024-12-01 15:55:54,272: INFO: 3963953584: Handling Duplicate image with hash: 72cac7cf6beb8754539e63c603cb649e0939f1c3 and j: 2]
[2024-12-01 15:55:54,272: INFO: 3963953584: This face has already occured in this video]
[2024-12-01 15:55:55,794: INFO: 3963953584: Found faces in frame 18 of video 2]
[2024-12-01 15:55:55,794: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:55,798: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:55,908: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:55:55,908: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:55,909: INFO: 3963953584: result variable is not none and calling the handle_not_unique function]
[2024-12-01 15:55:55,909: INFO: 3963953584: Handling Duplicate image with hash: 72cac7cf6beb8754539e63c603cb649e0939f1c3 and j: 2]
[2024-12-01 15:55:55,909: INFO: 3963953584: This face has already occured in this video]
[2024-12-01 15:55:55,910: INFO: 3963953584: Face is not clear]
[2024-12-01 15:55:55,910: INFO: 3963953584: Face is not clear]
[2024-12-01 15:55:55,924: INFO: 3963953584: Processing video: https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-992064161877405]
[2024-12-01 15:55:59,368: INFO: 3963953584: Processing video frames of video: 3]
[2024-12-01 15:56:00,606: INFO: 3963953584: Found faces in frame 1 of video 3]
[2024-12-01 15:56:00,606: INFO: 3963953584: Face is clear]
